itstId,itstNm,mapCtptIntLat,mapCtptIntLot
1978,해성자동차공업사앞,375432538,1270604213
198,신도림역,375102262,1268903682
1980,잠실새내역,375116331,1270855385
1981,잠실3사거리,375118955,1270925284
1988,그랜드마트,375596618,1268386338
1989,성내천공원앞,375251481,1271254038
199,신도림주민센터,375057642,1268836059
1990,팬코,375607703,1268389868
1991,등촌1-10단지,375632190,1268397947
1992,대륭드림타운,375665502,1268408441
1999,원남동사거리,375759134,1269973494
200,구로역,375030259,1268798092
20001,이촌역앞(연등),375229798,1269721030
20005,석관중(연등),376059691,1270665962
20009,구로경찰서(연등),374943412,1268870739
20010,난곡우체국앞(연등),374778807,1269165270
20026,삼성동센트럴아이파크(연등),375162776,1270516058
2003,석촌호,375065529,1270973009
20030,강남세무서(연등)1,375184194,1270480101
20034,논현지구대(연등),375127762,1270268085
20035,전기공제회관(연등),375142990,1270201207
20038,영동고(연등)1,375216641,1270396415
20039,청담천주교회(연등),375215056,1270487973
20041,우리은행청담(연등),375222637,1270558112
20042,영동대교남단(연등),375248517,1270527188
20045,학동(연등)1,375235020,1270416064
20046,도산공원(연등),375221282,1270357303
20047,삼화콘덴서(연등),375209338,1270319535
20049,신사역(연등),375157695,1270184618
20054,청담초교(연등),375266046,1270454089
20056,광림교회(연등),375261150,1270263586
20057,현대고(연등),375234339,1270210383
20058,한남대교남단(연등)1,375223813,1270190757
20062,서울메트로뒤(연등),374780399,1269881719
20063,시스폴사거리(연등),374870134,1269892559
20064,한양타운(연등),375257800,1270399912
20068,백제고분(연등),375084921,1271154762
20070,방이사거리(연등),375092497,1271140938
20073,대명초교입구(연등),375474110,1271560700
20077,롯데백화점도곡(연등),374973799,1270562029
20082,쟁골마을(연등),374832246,1271044788
20086,헌인릉입구(연등),374600530,1270800020
20089,세곡동사거리(연등)1,374648491,1271099606
2009,서울도시가스,375052457,1269445611
20093,자곡사거리(연등),374752383,1271052906
20097,대왕중교(연등),374840400,1270891665
20098,태화복지관앞(연등),374848326,1270927019
201,중앙유통단지,375011484,1268772342
2010,강서도로사업소,375727294,1268299747
20101,수서역(연등)1,374884240,1271003019
20109,서초삼성스위트아파트(연등),374940062,1270256325
20130,목동사거리(연등),375327016,1268660821
20133,목동역(연등)1,375262938,1268635009
20134,남부법원.검찰청(연등),375244125,1268648346
20142,한진해운빌딩앞(연등),375247338,1269248656
20146,탑성마을(연등),374597547,1270543256
20148,국회의사당(연등),375291901,1269172550
2015,대명전자삼거리,374823424,1268934820
20158,청계6가(연등),375696390,1270097319
20160,삼성힐스테이트2단지앞(연등),375119827,1270496803
2017,유광사여성병원,375432532,1268388708
202,고척교,374988847,1268717925
20203,구로시장(연등)1,374873000,1268850638
20206,오류동삼거리(연등),374943355,1268400244
20239,노원롯데백화점(연등),376545850,1270619480
2028,이태원소방파출소,375346034,1269955875
203,구로시장,374883771,1268846197
20303,원터공원(연등)1,375546930,1271501920
2031,청계한신휴플러스,375718504,1270444346
2032,신답역,375698863,1270486833
2034,장지공영차고지앞,374801368,1271387579
20366,당고개주유소(연등),376695469,1270805588
20379,IBK기업은행대림동지점(연등),374970461,1268989915
2038,동대문중,375733575,1270522250
20386,망원역(연등),375568793,1269093970
20388,고려대역(연등),375896848,1270364650
2039,생태공원삼거리,375261462,1271223600
20392,종암2치안센터(연등),375990550,1270344679
20393,보훈병원입구(연등),375341124,1271426528
2040,청량리119안전센터,375871036,1270526473
20403,동성공업사(연등),376101463,1270324361
20406,삼양입구사거리(연등)1,376166410,1270298460
20408,도봉세무서(연등),376189823,1270290591
20409,방송대북부별관(연등),376207067,1270284102
2041,플라워스토리,375144374,1271427856
20410,미아역(연등),376271499,1270258590
20414,수유사거리(연등),376335531,1270234134
20416,대한병원(연등),376362876,1270230723
2042,가양3.5단지,375628915,1268517449
20423,수유3동우체국(연등),376421930,1270301450
2043,등촌아이파크아파트,375439455,1268621637
20433,창동변전소(연등),376585525,1270405611
20434,동부센트레빌아파트앞(연등),376628564,1270392505
20438,방학홈플러스(연등),376659281,1270429938
20445,도봉한신아파트(연등),376827755,1270458530
2045,방아삼거리,375236865,1271464939
20450,박미삼거리(연등)1,374472840,1269034026
20451,상월곡역(연등)1,376074855,1270505732
20452,석관2동삼성래미안(연등),376085327,1270525861
20454,장위사거리(연등),376138007,1270623226
20456,월릉교(연등),376155273,1270688440
20457,태릉가스충전소(연등),376180765,1270726290
20458,명보사거리(연등),375627579,1269930872
20463,돈암1동주민센터(연등)1,376022374,1270250188
20470,불광역(연등),376121223,1269285246
20472,연신내로데오(연등),376184018,1269201780
20477,역촌사거리(연등),376075679,1269217924
20478,역촌역(연등),376054730,1269226238
20482,신사오거리(연등)1,375995239,1269165965
20483,청운아파트(연등),375945988,1269145487
20484,새절역(연등),375933385,1269131659
2049,3.4번정문,375349453,1269847157
205,한영대학교,374978928,1268523901
2050,청파동삼거리,375482115,1269700559
2051,청파동입구,375495581,1269718128
20516,서울대매점앞(연등),374670538,1269487171
20526,신림3교(연등),374721493,1269332920
20529,선정중고입구(연등),376161564,1269077564
20538,강월초교(연등),375161781,1268348345
2054,국립중앙박물관,375215214,1269771243
20559,발산119안전센터(연등),375565925,1268376186
2056,국방부,375346420,1269758186
2059,남영삼거리,375420484,1269727794
206,오류동삼거리,374948451,1268410980
2060,남영역,375416827,1269707873
2061,다래원,375347082,1269973112
2062,데이콤빌딩,375241886,1269632141
